filter,pkBookingID,fkUserID,fkLocationID,fkColourCodeID,Approved,fkApprovedByID,dateAdded,dateBookingApproved,deleteBooking,prepUnit,prepPeriod,cleanDownUnit,cleanDownPeriod,bookingRealStartTime,bookingRealEndTime,bookingPending,pendingOnGrid,fkSeatingOptionID,bookingRejected,trackUserID,trackDate,emailBookingLink,fkVCID,vcEnd,prBookingID,waitList,requestedAttributes,priority,selectedRoomOnly,fkHostID,fkRequestorID,noShow,parkingFreeSpaceBooking,vcConferenceID,roomClear,InstantMeeting,BookingSource,IsOutlookBooking,IsRecurringBooking,resID,resSourceName,resIDBackup,BlockKey,importData,Status,dontMove,StagingBookingID,TransactionGUID,RealStartDateTimeUTC,RealEndDateTimeUTC,DeskGroupRestrictionType,fkRequestId,IsLinkedRoomBooking,fkTeamDayID,LastModifytime
38,38,31,11,63,True,31,2023-04-13 15:31:50,2023-04-13 15:31:50,0,0,0,0,0,None,None,False,False,4,False,None,None,539DAB78-15BD-4ED1-8283-FAD80948EB94,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,42,3EC8E106-8140-4360-AF96-439CB33D2B81,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xed'
39,39,31,11,63,True,31,2023-04-13 15:31:57,2023-04-13 15:31:57,0,0,0,0,0,None,None,False,False,4,False,None,None,6C95B6F7-3809-4315-825B-BF8F4994CED5,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,43,A73FCE23-05ED-4804-9B0E-1CDCDB0B9571,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xf3'
40,40,31,11,63,True,31,2023-04-13 15:33:30,2023-04-13 15:33:30,0,0,0,0,0,None,None,False,False,3,False,None,None,A43DC8CD-0929-4F7F-B224-A25089761321,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,44,96EC7496-E371-471F-A179-3EBFC23B2601,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00N\xfb'
41,41,31,11,63,True,31,2023-04-13 15:33:39,2023-04-13 15:33:39,0,0,0,0,0,None,None,False,False,4,False,None,None,1D0C9D19-EF25-43C5-B67F-B70011427479,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,45,A75242D4-E7D0-4FB4-BD9E-270F5FE25A58,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00O\x02'
42,42,31,11,63,True,31,2023-04-13 15:33:43,2023-04-13 15:33:43,0,0,0,0,0,None,None,False,False,4,False,None,None,86246AF9-62AE-4AC6-B523-867598E9915A,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,46,BB8B894E-0D1D-4573-8A61-EDABBCF2DCDD,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00O\x08'
43,43,31,11,63,True,31,2023-04-13 15:34:01.673000,2023-04-13 15:34:24,0,0,0,0,0,None,None,False,False,3,False,31,2023-04-13 15:34:36.273000,48B96B60-50B9-4957-8CF6-2E3F5F151EFF,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,47,C7CB1F64-A6FF-42EB-B75A-2A9F87A40D31,None,None,None,None,False,None,b'\x00\x00\x00\x00\x00\x00O3'
44,44,31,11,63,True,31,2023-04-13 15:34:44,2023-04-13 15:34:44,0,0,0,0,0,None,None,False,False,4,False,None,None,43CACF2F-EC88-4705-8B2F-D01870FF891D,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,52,80B71CC5-2B47-42F5-B4E5-36EB74B270AA,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00O:'
45,45,31,11,63,True,31,2023-04-13 15:35:25,2023-04-13 15:35:25,0,0,0,0,0,None,None,False,False,3,False,None,None,54D96F24-4714-4887-BC5A-A50AD7DAD5BC,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,53,E989DB7E-0981-4512-A9BB-948ED8934709,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00OD'
46,46,31,11,63,True,31,2023-04-13 15:35:36,2023-04-13 15:35:36,0,0,0,0,0,None,None,False,False,4,False,None,None,0B768E27-2F17-4A4F-8C47-866F89023DC7,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,54,2E1B0844-B6AC-4497-AF34-DC77DA450D1F,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00OL'
47,47,31,11,63,True,31,2023-04-13 15:35:42,2023-04-13 15:35:42,0,0,0,0,0,None,None,False,False,4,False,None,None,468E2E2D-7B7C-4143-9B28-AAA6F546222B,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,55,D75EEC41-1F45-48FD-BCED-056499A44339,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00OR'
48,48,31,9,59,True,31,2023-04-13 18:06:32,2023-04-13 18:06:32,0,0,0,0,0,None,None,False,False,3,False,None,None,440EB38D-8BE7-4139-B151-459F78FBF2B6,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,56,70656851-6591-49AE-9CAD-AA4190EFDE33,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00O`'
