filter,SurrogateKey,TenantID,pkBookingID,fkUserID,fkLocationID,dateAdded,trackDate,fkHostID,noShow,BookingSource,deleteBooking,RealStartDateTimeUTC,RealEndDateTimeUTC,bookingRealStartTime,bookingRealEndTime,cleanDownPeriod,cleanDownUnit,PipelineExecutionDate
115,1642,condeco777,115,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
116,1702,condeco777,116,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
117,1762,condeco777,117,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
118,1822,condeco777,118,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
119,1882,condeco777,119,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
120,1942,condeco777,120,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
121,2002,condeco777,121,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
122,2062,condeco777,122,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
123,2122,condeco777,123,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
124,2182,condeco777,124,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
125,2242,condeco777,125,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
126,2302,condeco777,126,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
127,2362,condeco777,127,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
128,2422,condeco777,128,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
129,2482,condeco777,129,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
130,2542,condeco777,130,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
131,2602,condeco777,131,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
132,2662,condeco777,132,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
133,2722,condeco777,133,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
